Simulation_No,Total_Attempts
1,119
2,131
3,239
4,88
5,82
6,119
7,243
8,155
9,126
10,66
11,105
12,171
13,84
14,49
15,101
16,217
17,100
18,85
19,180
20,83
21,136
22,94
23,122
24,208
25,83
26,88
27,63
28,142
29,127
30,196
31,119
32,175
33,83
34,128
35,116
36,89
37,121
38,118
39,160
40,143
41,90
42,133
43,92
44,110
45,116
46,123
47,168
48,145
49,139
50,206
51,50
52,191
53,122
54,184
55,72
56,159
57,189
58,172
59,141
60,108
61,179
62,190
63,65
64,119
65,53
66,103
67,224
68,122
69,80
70,157
71,245
72,93
73,125
74,120
75,159
76,90
77,151
78,89
79,87
80,181
81,83
82,149
83,111
84,98
85,115
86,111
87,239
88,109
89,115
90,180
91,111
92,113
93,46
94,141
95,78
96,45
97,99
98,266
99,163
100,188
101,46
102,98
103,80
104,118
105,231
106,162
107,122
108,194
109,139
110,83
111,135
112,264
113,104
114,148
115,94
116,98
117,65
118,225
119,157
120,135
121,187
122,103
123,76
124,106
125,141
126,99
127,80
128,168
129,112
130,56
131,74
132,99
133,109
134,97
135,133
136,140
137,121
138,233
139,126
140,84
141,105
142,90
143,82
144,149
145,184
146,254
147,56
148,186
149,90
150,52
151,200
152,100
153,63
154,112
155,138
156,100
157,49
158,219
159,114
160,92
161,69
162,70
163,155
164,144
165,154
166,112
167,134
168,121
169,98
170,220
171,101
172,49
173,57
174,152
175,182
176,183
177,92
178,43
179,139
180,127
181,79
182,164
183,79
184,169
185,71
186,97
187,245
188,99
189,146
190,126
191,123
192,101
193,73
194,146
195,59
196,108
197,73
198,249
199,86
200,81
201,77
202,176
203,97
204,122
205,68
206,71
207,127
208,101
209,164
210,98
211,82
212,22
213,168
214,75
215,86
216,122
217,149
218,117
219,75
220,129
221,98
222,275
223,50
224,103
225,157
226,130
227,107
228,97
229,84
230,321
231,62
232,96
233,88
234,123
235,96
236,54
237,126
238,110
239,115
240,106
241,133
242,114
243,246
244,106
245,93
246,53
247,119
248,97
249,297
250,118
251,132
252,211
253,127
254,201
255,192
256,84
257,77
258,126
259,50
260,64
261,68
262,179
263,78
264,253
265,96
266,64
267,146
268,77
269,198
270,56
271,232
272,127
273,109
274,131
275,137
276,168
277,149
278,68
279,110
280,133
281,117
282,94
283,134
284,77
285,119
286,140
287,149
288,72
289,74
290,226
291,71
292,193
293,113
294,165
295,97
296,95
297,90
298,113
299,154
300,98
301,229
302,76
303,120
304,57
305,82
306,108
307,129
308,58
309,44
310,115
311,117
312,195
313,111
314,62
315,177
316,174
317,84
318,106
319,135
320,167
321,60
322,71
323,143
324,92
325,37
326,129
327,58
328,46
329,124
330,105
331,64
332,105
333,174
334,108
335,102
336,306
337,181
338,129
339,98
340,134
341,154
342,135
343,363
344,139
345,72
346,93
347,201
348,62
349,135
350,196
351,95
352,118
353,153
354,176
355,98
356,113
357,100
358,181
359,107
360,64
361,121
362,111
363,131
364,157
365,143
366,215
367,115
368,116
369,146
370,129
371,101
372,103
373,128
374,118
375,161
376,153
377,192
378,51
379,183
380,63
381,82
382,142
383,92
384,111
385,195
386,174
387,59
388,152
389,105
390,125
391,95
392,148
393,50
394,202
395,116
396,173
397,79
398,135
399,77
400,156
401,151
402,78
403,163
404,48
405,247
406,88
407,231
408,74
409,74
410,105
411,108
412,48
413,149
414,63
415,88
416,129
417,137
418,122
419,170
420,113
421,159
422,172
423,165
424,130
425,78
426,155
427,91
428,108
429,113
430,173
431,107
432,197
433,221
434,122
435,195
436,116
437,84
438,318
439,107
440,139
441,132
442,112
443,261
444,53
445,173
446,73
447,160
448,67
449,101
450,121
451,137
452,120
453,78
454,61
455,99
456,161
457,101
458,62
459,84
460,92
461,54
462,120
463,170
464,41
465,90
466,170
467,154
468,173
469,126
470,43
471,89
472,99
473,110
474,74
475,112
476,166
477,177
478,130
479,82
480,106
481,104
482,93
483,52
484,61
485,84
486,206
487,68
488,227
489,65
490,105
491,51
492,135
493,156
494,114
495,54
496,211
497,126
498,171
499,165
500,142
